iter	Passed	Remaining
463	752	869
464	753	866
465	754	864
466	756	863
467	757	861
468	759	860
469	761	858
470	762	855
471	763	853
472	764	851
473	765	849
474	766	847
475	767	844
476	768	842
477	769	840
478	770	838
479	772	836
480	773	834
481	775	833
482	776	831
483	777	829
484	778	827
485	779	824
486	780	822
487	782	820
488	783	818
489	784	816
490	785	814
491	787	812
492	789	811
493	790	809
494	791	807
495	792	805
496	793	803
497	794	801
498	795	798
499	796	796
500	797	794
501	798	792
502	800	790
503	801	789
504	803	787
505	805	786
506	806	784
507	807	782
508	809	780
509	810	778
510	811	776
511	812	774
512	813	772
513	814	770
514	816	768
515	818	767
516	819	765
517	820	763
518	821	761
519	822	759
520	823	757
521	824	755
522	826	753
523	826	751
524	827	749
525	829	747
526	830	745
527	831	743
528	833	742
529	835	740
530	836	738
531	837	736
532	839	735
533	840	733
534	841	731
535	842	729
536	844	727
537	845	726
538	846	724
539	848	722
540	850	721
541	851	719
542	852	717
543	853	715
544	854	713
545	855	711
546	856	709
547	857	707
548	858	705
549	860	704
550	862	703
551	864	701
552	865	699
553	866	697
554	867	695
555	868	693
556	869	691
557	870	689
558	872	687
559	872	685
560	874	684
561	876	682
562	877	681
563	879	680
564	881	678
565	882	676
566	883	674
567	884	672
568	885	670
569	886	668
570	887	666
571	888	664
572	889	662
573	891	661
574	893	660
575	894	658
576	895	656
577	896	654
578	897	652
579	898	650
580	899	649
581	901	647
582	902	645
583	903	643
584	904	641
585	905	639
586	906	638
587	909	636
588	910	635
589	911	633
590	912	631
591	913	629
592	914	627
593	915	625
594	916	624
595	917	622
596	919	620
597	920	618
598	921	617
599	924	616
600	925	614
601	926	612
602	927	610
603	928	608
604	929	606
605	930	605
606	931	603
607	932	601
608	934	599
609	935	598
610	937	597
611	939	595
612	940	593
613	941	591
614	942	590
615	944	588
616	945	586
617	946	585
618	947	583
619	948	581
620	949	579
621	951	578
622	953	577
623	954	575
624	956	573
625	957	571
626	958	570
627	959	568
628	960	566
629	962	565
630	963	563
631	964	561
632	966	560
633	967	558
634	969	557
635	971	555
636	972	554
637	973	552
638	974	550
639	975	548
640	976	546
641	977	545
642	978	543
643	980	541
644	982	540
645	984	539
646	986	538
647	987	536
648	988	534
649	989	532
650	990	531
651	992	529
652	993	527
653	994	526
654	996	524
655	998	523
656	1000	522
657	1001	520
658	1002	518
659	1003	516
660	1004	515
661	1005	513
662	1006	511
663	1007	510
664	1009	508
665	1010	506
666	1012	505
667	1014	503
668	1015	502
669	1016	500
670	1017	498
671	1018	497
672	1020	495
673	1021	494
674	1022	492
675	1024	490
676	1026	489
677	1030	489
678	1032	488
679	1033	486
680	1034	484
681	1036	483
682	1037	481
683	1041	481
684	1044	480
685	1046	478
686	1047	477
687	1049	475
688	1050	474
689	1052	472
690	1053	471
691	1056	470
692	1058	468
693	1060	467
694	1061	465
695	1063	464
696	1064	462
697	1065	461
698	1067	459
699	1069	458
700	1071	457
701	1074	456
702	1075	454
703	1077	452
704	1078	451
705	1079	449
706	1081	448
707	1084	447
708	1086	446
709	1088	444
710	1090	443
711	1091	441
712	1093	440
713	1095	438
714	1096	437
715	1098	435
716	1099	433
717	1101	432
718	1102	430
719	1105	429
720	1106	428
721	1107	426
722	1108	424
723	1109	423
724	1111	421
725	1112	419
726	1113	418
727	1115	416
728	1117	415
729	1120	414
730	1121	412
731	1123	411
732	1124	409
733	1125	408
734	1127	406
735	1128	404
736	1130	403
737	1132	401
738	1134	400
739	1135	399
740	1137	397
741	1139	396
742	1140	394
743	1141	392
744	1142	391
745	1144	389
746	1146	388
747	1147	386
748	1149	385
749	1151	383
750	1152	382
751	1153	380
752	1154	378
753	1155	377
754	1157	375
755	1158	373
756	1159	372
757	1161	370
758	1164	369
759	1165	368
760	1166	366
761	1167	364
762	1168	363
763	1170	361
764	1171	359
765	1172	358
766	1173	356
767	1175	355
768	1177	353
769	1178	352
770	1180	350
771	1181	348
772	1182	347
773	1183	345
774	1184	343
775	1185	342
776	1186	340
777	1187	338
778	1188	337
779	1189	335
780	1191	334
781	1192	332
782	1194	331
783	1196	329
784	1197	327
785	1198	326
786	1199	324
787	1200	323
788	1201	321
789	1203	319
790	1204	318
791	1206	316
792	1208	315
793	1210	313
794	1211	312
795	1212	310
796	1213	309
797	1214	307
798	1215	305
799	1216	304
800	1217	302
801	1218	300
802	1220	299
803	1222	297
804	1224	296
805	1226	295
806	1227	293
807	1228	291
808	1229	290
809	1230	288
810	1231	287
811	1232	285
812	1234	283
813	1236	282
814	1238	281
815	1240	279
816	1242	278
817	1243	276
818	1244	274
819	1245	273
820	1246	271
821	1247	270
822	1248	268
823	1250	267
824	1252	265
825	1253	264
826	1255	262
827	1256	260
828	1257	259
829	1258	257
830	1259	256
831	1260	254
832	1261	252
833	1262	251
834	1263	249
835	1265	248
836	1266	246
837	1268	245
838	1270	243
839	1271	242
840	1272	240
841	1273	238
842	1274	237
843	1275	235
844	1276	234
845	1278	232
846	1279	231
847	1281	229
848	1284	228
849	1285	226
850	1287	225
851	1288	223
852	1289	222
853	1290	220
854	1291	219
855	1293	217
856	1295	216
857	1297	214
858	1298	213
859	1299	211
860	1300	209
861	1301	208
862	1303	206
863	1304	205
864	1305	203
865	1306	202
866	1307	200
867	1309	199
868	1311	197
869	1312	196
870	1314	194
871	1316	193
872	1317	191
873	1319	190
874	1320	188
875	1321	187
876	1323	185
877	1325	184
878	1327	182
879	1329	181
880	1330	179
881	1331	178
882	1332	176
883	1334	175
884	1335	173
885	1336	171
886	1337	170
887	1339	168
888	1342	167
889	1343	166
890	1344	164
891	1346	162
892	1347	161
893	1348	159
894	1349	158
895	1350	156
896	1352	155
897	1355	153
898	1356	152
899	1357	150
900	1358	149
901	1360	147
902	1361	146
903	1362	144
904	1364	143
905	1365	141
906	1366	140
907	1367	138
908	1369	137
909	1371	135
910	1373	134
911	1374	132
912	1375	131
913	1376	129
914	1378	128
915	1379	126
916	1380	124
917	1381	123
918	1383	121
919	1384	120
920	1387	119
921	1388	117
922	1389	115
923	1390	114
924	1391	112
925	1392	111
926	1394	109
927	1395	108
928	1396	106
929	1399	105
930	1401	103
931	1402	102
932	1403	100
933	1404	99
934	1405	97
935	1407	96
936	1408	94
937	1409	93
938	1411	91
939	1413	90
940	1415	88
941	1417	87
942	1419	85
943	1420	84
944	1421	82
945	1422	81
946	1423	79
947	1424	78
948	1426	76
949	1428	75
950	1430	73
951	1431	72
952	1432	70
953	1433	69
954	1434	67
955	1435	66
956	1436	64
957	1438	63
958	1439	61
959	1440	60
960	1441	58
961	1443	57
962	1444	55
963	1446	54
964	1448	52
965	1449	51
966	1450	49
967	1451	47
968	1452	46
969	1453	44
970	1454	43
971	1456	41
972	1457	40
973	1459	38
974	1461	37
975	1463	35
976	1464	34
977	1465	32
978	1466	31
979	1467	29
980	1469	28
981	1470	26
982	1472	25
983	1475	23
984	1477	22
985	1478	20
986	1480	19
987	1481	17
988	1482	16
989	1483	14
990	1484	13
991	1486	11
992	1487	10
993	1489	8
994	1490	7
995	1493	5
996	1494	4
997	1495	2
998	1496	1
999	1497	0
